country,event_type,user_id,timestamp,duration_seconds,watched_duration,total_duration,content_id,episode_number,watched_seconds,total_seconds,user_rating,subscription_type,user_age,monthly_revenue,genre,primary_genre,content_type,rating
BR,buffer,35,35,35,35,35,35,35,35,35,25,35,35,35,35,35,35,35
BR,error,50,50,50,50,50,50,50,50,50,35,50,50,50,50,50,50,50
BR,pause,47,47,47,47,47,47,47,47,47,33,47,47,47,47,47,47,47
BR,play,40,40,40,40,40,40,40,40,40,31,40,40,40,40,40,40,40
BR,stop,39,39,39,39,39,39,39,39,39,24,39,39,39,39,39,39,39
CA,buffer,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10
CA,error,16,16,16,16,16,16,16,16,16,12,16,16,16,16,16,16,16
CA,pause,18,18,18,18,18,18,18,18,18,13,18,18,18,18,18,18,18
CA,play,15,15,15,15,15,15,15,15,15,12,15,15,15,15,15,15,15
CA,stop,23,23,23,23,23,23,23,23,23,16,23,23,23,23,23,23,23
DE,buffer,24,24,24,24,24,24,24,24,24,17,24,24,24,24,24,24,24
DE,error,25,25,25,25,25,25,25,25,25,14,25,25,25,25,25,25,25
DE,pause,16,16,16,16,16,16,16,16,16,11,16,16,16,16,16,16,16
DE,play,21,21,21,21,21,21,21,21,21,18,21,21,21,21,21,21,21
DE,stop,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18
FR,buffer,25,25,25,25,25,25,25,25,25,16,25,25,25,25,25,25,25
FR,error,15,15,15,15,15,15,15,15,15,13,15,15,15,15,15,15,15
FR,pause,25,25,25,25,25,25,25,25,25,13,25,25,25,25,25,25,25
FR,play,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14
FR,stop,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20
JP,buffer,45,45,45,45,45,45,45,45,45,32,45,45,45,45,45,45,45
JP,error,43,43,43,43,43,43,43,43,43,31,43,43,43,43,43,43,43
JP,pause,55,55,55,55,55,55,55,55,55,38,55,55,55,55,55,55,55
JP,play,42,42,42,42,42,42,42,42,42,30,42,42,42,42,42,42,42
JP,stop,45,45,45,45,45,45,45,45,45,33,45,45,45,45,45,45,45
UK,buffer,13,13,13,13,13,13,13,13,13,11,13,13,13,13,13,13,13
UK,error,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,10
UK,pause,16,16,16,16,16,16,16,16,16,12,16,16,16,16,16,16,16
UK,play,15,15,15,15,15,15,15,15,15,8,15,15,15,15,15,15,15
UK,stop,17,17,17,17,17,17,17,17,17,13,17,17,17,17,17,17,17
US,buffer,19,19,19,19,19,19,19,19,19,12,19,19,19,19,19,19,19
US,error,20,20,20,20,20,20,20,20,20,13,20,20,20,20,20,20,20
US,pause,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11
US,play,25,25,25,25,25,25,25,25,25,18,25,25,25,25,25,25,25
US,stop,21,21,21,21,21,21,21,21,21,15,21,21,21,21,21,21,21
